Accessionid,title,extra,gi,createdate,updatedate,flags,taxid,slen,biomol,moltype,topology,sourcedb,segsetsize,projectid,genome,subtype,subname,assemblygi,assemblyacc,tech,completeness,geneticcode,strand,organism,strain,biosample
XM_035306157,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X21, mRNA",gi|2461856594|ref|XM_035306157.2|,2461856594,03/07/2020,18/03/2023,512,9483,4829,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306156,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X20, mRNA",gi|2461856592|ref|XM_035306156.2|,2461856592,03/07/2020,18/03/2023,512,9483,4568,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306155,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X19, mRNA",gi|2461856590|ref|XM_035306155.2|,2461856590,03/07/2020,18/03/2023,512,9483,4602,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306154,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X18, mRNA",gi|2461856588|ref|XM_035306154.2|,2461856588,03/07/2020,18/03/2023,512,9483,4607,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306153,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X17, mRNA",gi|2461856586|ref|XM_035306153.2|,2461856586,03/07/2020,18/03/2023,512,9483,4777,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306151,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X16, mRNA",gi|2461856584|ref|XM_035306151.2|,2461856584,03/07/2020,18/03/2023,512,9483,4634,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306150,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X15, mRNA",gi|2461856582|ref|XM_035306150.2|,2461856582,03/07/2020,18/03/2023,512,9483,4659,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306147,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X14, mRNA",gi|2461856580|ref|XM_035306147.2|,2461856580,03/07/2020,18/03/2023,512,9483,4673,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306148,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X13, mRNA",gi|2461856578|ref|XM_035306148.2|,2461856578,03/07/2020,18/03/2023,512,9483,4674,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306146,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X12, mRNA",gi|2461856576|ref|XM_035306146.2|,2461856576,03/07/2020,18/03/2023,512,9483,4719,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306145,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X11, mRNA",gi|2461856574|ref|XM_035306145.2|,2461856574,03/07/2020,18/03/2023,512,9483,4737,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306143,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X10, mRNA",gi|2461856572|ref|XM_035306143.2|,2461856572,03/07/2020,18/03/2023,512,9483,5030,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306141,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X9, mRNA",gi|2461856570|ref|XM_035306141.2|,2461856570,03/07/2020,18/03/2023,512,9483,4752,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258077,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X8, mRNA",gi|2461856568|ref|XM_054258077.1|,2461856568,18/03/2023,18/03/2023,512,9483,4758,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306140,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X7, mRNA",gi|2461856566|ref|XM_035306140.2|,2461856566,03/07/2020,18/03/2023,512,9483,4767,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306139,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X6, mRNA",gi|2461856564|ref|XM_035306139.2|,2461856564,03/07/2020,18/03/2023,512,9483,4782,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306137,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X5, mRNA",gi|2461856562|ref|XM_035306137.2|,2461856562,03/07/2020,18/03/2023,512,9483,4788,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306136,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X4, mRNA",gi|2461856560|ref|XM_035306136.2|,2461856560,03/07/2020,18/03/2023,512,9483,4797,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306135,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X3, mRNA",gi|2461856558|ref|XM_035306135.2|,2461856558,03/07/2020,18/03/2023,512,9483,4815,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306134,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X2, mRNA",gi|2461856556|ref|XM_035306134.2|,2461856556,03/07/2020,18/03/2023,512,9483,4821,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306133,"PREDICTED: Callithrix jacchus LRR binding FLII interacting protein 1 (LRRFIP1), transcript variant X1, mRNA",gi|2461856554|ref|XM_035306133.2|,2461856554,03/07/2020,18/03/2023,512,9483,4860,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306131,"PREDICTED: Callithrix jacchus melanophilin (MLPH), transcript variant X6, mRNA",gi|2461856553|ref|XM_035306131.2|,2461856553,03/07/2020,18/03/2023,512,9483,2645,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306130,"PREDICTED: Callithrix jacchus melanophilin (MLPH), transcript variant X5, mRNA",gi|2461856552|ref|XM_035306130.2|,2461856552,03/07/2020,18/03/2023,512,9483,2735,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306129,"PREDICTED: Callithrix jacchus melanophilin (MLPH), transcript variant X4, mRNA",gi|2461856551|ref|XM_035306129.2|,2461856551,03/07/2020,18/03/2023,512,9483,2795,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258076,"PREDICTED: Callithrix jacchus melanophilin (MLPH), transcript variant X3, mRNA",gi|2461856549|ref|XM_054258076.1|,2461856549,18/03/2023,18/03/2023,512,9483,2762,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306128,"PREDICTED: Callithrix jacchus melanophilin (MLPH), transcript variant X2, mRNA",gi|2461856548|ref|XM_035306128.2|,2461856548,03/07/2020,18/03/2023,512,9483,2926,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306127,"PREDICTED: Callithrix jacchus melanophilin (MLPH), transcript variant X1, mRNA",gi|2461856547|ref|XM_035306127.2|,2461856547,03/07/2020,18/03/2023,512,9483,2884,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482328,"PREDICTED: Callithrix jacchus uncharacterized LOC128932447 (LOC128932447), ncRNA",gi|2461856546|ref|XR_008482328.1|,2461856546,18/03/2023,18/03/2023,512,9483,2927,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306121,"PREDICTED: Callithrix jacchus collagen type VI alpha 3 chain (COL6A3), mRNA",gi|2461856544|ref|XM_035306121.2|,2461856544,03/07/2020,18/03/2023,512,9483,10678,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004744925,"PREDICTED: Callithrix jacchus uncharacterized LOC108592309 (LOC108592309), transcript variant X2, ncRNA",gi|2461856543|ref|XR_004744925.2|,2461856543,03/07/2020,18/03/2023,512,9483,1001,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_001912411,"PREDICTED: Callithrix jacchus uncharacterized LOC108592309 (LOC108592309), transcript variant X1, ncRNA",gi|2461856542|ref|XR_001912411.3|,2461856542,31/08/2016,18/03/2023,512,9483,619,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_002749955,"PREDICTED: Callithrix jacchus COP9 signalosome subunit 8 (COPS8), mRNA",gi|2461856541|ref|XM_002749955.6|,2461856541,18/05/2010,18/03/2023,512,9483,1648,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482327,"PREDICTED: Callithrix jacchus uncharacterized LOC128932446 (LOC128932446), ncRNA",gi|2461856540|ref|XR_008482327.1|,2461856540,18/03/2023,18/03/2023,512,9483,4041,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_621266,"PREDICTED: Callithrix jacchus uncharacterized LOC100895694 (LOC100895694), ncRNA",gi|2461856539|ref|XR_621266.4|,2461856539,02/09/2014,18/03/2023,512,9483,826,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482326,"PREDICTED: Callithrix jacchus uncharacterized LOC128932445 (LOC128932445), ncRNA",gi|2461856538|ref|XR_008482326.1|,2461856538,18/03/2023,18/03/2023,512,9483,2180,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004744923,"PREDICTED: Callithrix jacchus uncharacterized LOC118154706 (LOC118154706), ncRNA",gi|2461856537|ref|XR_004744923.2|,2461856537,03/07/2020,18/03/2023,512,9483,1260,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_004744922,"PREDICTED: Callithrix jacchus uncharacterized LOC118154705 (LOC118154705), ncRNA",gi|2461856536|ref|XR_004744922.2|,2461856536,03/07/2020,18/03/2023,512,9483,4548,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_008999755,"PREDICTED: Callithrix jacchus atypical chemokine receptor 3 (ACKR3), transcript variant X2, mRNA",gi|2461856534|ref|XM_008999755.3|,2461856534,02/09/2014,18/03/2023,512,9483,2021,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_008999754,"PREDICTED: Callithrix jacchus atypical chemokine receptor 3 (ACKR3), transcript variant X1, mRNA",gi|2461856532|ref|XM_008999754.4|,2461856532,02/09/2014,18/03/2023,512,9483,2045,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258075,"PREDICTED: Callithrix jacchus IQ motif containing with AAA domain 1 (IQCA1), transcript variant X3, mRNA",gi|2461856530|ref|XM_054258075.1|,2461856530,18/03/2023,18/03/2023,512,9483,3200,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258074,"PREDICTED: Callithrix jacchus IQ motif containing with AAA domain 1 (IQCA1), transcript variant X2, mRNA",gi|2461856528|ref|XM_054258074.1|,2461856528,18/03/2023,18/03/2023,512,9483,3289,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_008999752,"PREDICTED: Callithrix jacchus IQ motif containing with AAA domain 1 (IQCA1), transcript variant X1, mRNA",gi|2461856527|ref|XM_008999752.4|,2461856527,02/09/2014,18/03/2023,512,9483,3292,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XR_008482325,"PREDICTED: Callithrix jacchus uncharacterized LOC128932443 (LOC128932443), ncRNA",gi|2461856526|ref|XR_008482325.1|,2461856526,18/03/2023,18/03/2023,512,9483,3252,ncRNA|lncRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_002749949,"PREDICTED: Callithrix jacchus ankyrin repeat and SOCS box containing 18 (ASB18), mRNA",gi|2461856524|ref|XM_002749949.5|,2461856524,18/05/2010,18/03/2023,512,9483,9052,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258073,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X12, mRNA",gi|2461856522|ref|XM_054258073.1|,2461856522,18/03/2023,18/03/2023,512,9483,1876,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258072,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X11, mRNA",gi|2461856520|ref|XM_054258072.1|,2461856520,18/03/2023,18/03/2023,512,9483,10522,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258071,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X10, mRNA",gi|2461856518|ref|XM_054258071.1|,2461856518,18/03/2023,18/03/2023,512,9483,10532,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258070,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X9, mRNA",gi|2461856516|ref|XM_054258070.1|,2461856516,18/03/2023,18/03/2023,512,9483,10681,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258069,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X8, mRNA",gi|2461856514|ref|XM_054258069.1|,2461856514,18/03/2023,18/03/2023,512,9483,10756,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_054258068,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X7, mRNA",gi|2461856512|ref|XM_054258068.1|,2461856512,18/03/2023,18/03/2023,512,9483,10766,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306611,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X6, mRNA",gi|2461856511|ref|XM_035306611.2|,2461856511,03/07/2020,18/03/2023,512,9483,11191,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
XM_035306610,"PREDICTED: Callithrix jacchus ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant X5, mRNA",gi|2461856510|ref|XM_035306610.2|,2461856510,03/07/2020,18/03/2023,512,9483,11267,mRNA,rna,linear,refseq,0,939228,chromosome,isolate|chromosome|sex|tissue_type|dev_stage|country|lat_lon|collection_date|collected_by,mCalJac1|6|male|muscle|juvenile|USA: New York|40.762676 N 73.955541 W|2018-06-12|Stephanie Marcus and Margaret Fabiszak,0,,,,1,,Callithrix jacchus,,
